enquiry_id,submitted_at,company_name,industry,company_size,urgency,service_line,complexity,estimated_hours,route_to,abstained,abstain_reason,correction,model_version,prompt_version
HG-2026-0001,2026-03-04T09:12:00+00:00,Northbridge Payroll Ltd,professional_services,sme,normal,TAX_STRUCTURING,simple,30,james.okonkwo@hartwellgrey.example,False,,,,
HG-2026-0002,2026-03-04T10:01:00+00:00,Redfern Consumer plc,consumer,sme,normal,STRATEGY_OM,moderate,40,priya.shah@hartwellgrey.example,False,,,,
HG-2026-0003,2026-03-04T11:20:00+00:00,Helios Components Ltd,industrials,sme,high,MA_TRANSACTION,complex,80,james.okonkwo@hartwellgrey.example,False,,,,
HG-2026-0004,2026-03-04T12:00:00+00:00,Solace Health Group,healthcare,sme,normal,RISK_REGULATORY,moderate,45,elena.rossi@hartwellgrey.example,False,,,,
HG-2026-0005,2026-03-04T13:15:00+00:00,Pinecourt Analytics,technology,sme,normal,TECH_DATA,moderate,60,david.chen@hartwellgrey.example,False,,,,
HG-2026-0006,2026-03-04T14:02:00+00:00,Calder Family Office,financial_services,sme,low,TAX_STRUCTURING,simple,34,james.okonkwo@hartwellgrey.example,False,,,,
HG-2026-0007,2026-03-04T15:40:00+00:00,Voss Retail GmbH,consumer,mid,normal,STRATEGY_OM,moderate,53,priya.shah@hartwellgrey.example,False,,,,
HG-2026-0008,2026-03-05T08:00:00+00:00,Meridian Freight Inc,industrials,enterprise,high,MA_TRANSACTION,complex,177,james.okonkwo@hartwellgrey.example,False,,,,
HG-2026-0009,2026-03-05T09:30:00+00:00,Oakline Hospitals,healthcare,mid,high,TECH_DATA,complex,96,david.chen@hartwellgrey.example,False,,,,
HG-2026-0010,2026-03-05T10:11:00+00:00,Boreal Energy,energy,enterprise,high,RISK_REGULATORY,moderate,78,elena.rossi@hartwellgrey.example,False,,,,
HG-2026-0011,2026-03-05T11:00:00+00:00,Ashworth Mutual,financial_services,sme,high,,,,intake-analyst@hartwellgrey.example,True,cross_lead_conflict,,,
HG-2026-0012,2026-03-05T11:45:00+00:00,Kestrel Buyers LLP,financial_services,sme,high,MA_TRANSACTION,complex,80,james.okonkwo@hartwellgrey.example,False,,,,
HG-2026-0013,2026-03-05T12:00:00+00:00,unknown,other,sme,normal,,,,intake-analyst@hartwellgrey.example,True,low_evidence,,,
HG-2026-0014,2026-03-05T12:05:00+00:00,Whitcombe Holdings,industrials,sme,low,,,,intake-analyst@hartwellgrey.example,True,out_of_taxonomy,,,
HG-2026-0015,2026-03-05T12:20:00+00:00,Novara Logistics,industrials,sme,high,,,,intake-analyst@hartwellgrey.example,True,out_of_taxonomy,,,
HG-2026-0016,2026-03-05T13:00:00+00:00,Acme SaaS,technology,sme,low,,,,intake-analyst@hartwellgrey.example,True,out_of_taxonomy,,,
HG-2026-0017,2026-03-05T13:30:00+00:00,Jane Doe,other,sme,low,,,,intake-analyst@hartwellgrey.example,True,out_of_taxonomy,,,
HG-2026-0018,2026-03-05T14:10:00+00:00,Linden Private Trust,financial_services,sme,normal,TAX_STRUCTURING,simple,38,james.okonkwo@hartwellgrey.example,False,,,,
HG-2026-0019,2026-03-05T15:00:00+00:00,Fairway Board Ltd,consumer,sme,high,STRATEGY_OM,moderate,50,priya.shah@hartwellgrey.example,False,,,,
HG-2026-0020,2026-03-06T09:00:00+00:00,Helios Components Ltd,industrials,sme,high,MA_TRANSACTION,complex,80,james.okonkwo@hartwellgrey.example,False,,,,
